Conflict.Name,Type.of.violence,Year,Long,Lat,Side.A,Side.B,Deaths.A,Deaths.B
Afghanistan:Government,1,1998,64.83333,36.25,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,68.911,37.1813,Government of Afghanistan,UIFSA,22,0
Afghanistan:Government,1,2004,65.465693,32.584696,Government of Afghanistan,Taleban,1,0
Afghanistan:Government,1,2004,66.0,32.83333,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,67.25,32.25,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,66.905121,32.10368,Government of Afghanistan,Taleban,2,0
Afghanistan:Government,1,2004,65.465693,32.584696,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,62.923611,32.553611,Government of Afghanistan,Taleban,6,0
Afghanistan:Government,1,2004,66.718156,32.329205,Government of Afghanistan,Taleban,0,2
Afghanistan:Government,1,2004,67.151789,31.918721,Government of Afghanistan,Taleban,0,8
Afghanistan:Government,1,2004,67.673602,32.499925,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,66.203194,32.210796,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,65.75,31.0,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,65.158015,31.072875,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,1998,68.715122,35.944583,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.162796,34.531094,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,68.75,36.75,Government of Afghanistan,UIFSA,5,0
Afghanistan:Government,1,2004,67.151789,31.918721,Government of Afghanistan,Taleban,1,0
Afghanistan:Government,1,1998,69.129,34.7332,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,68.951,37.2565,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,64.931647,35.337118,Government of Afghanistan,UIFSA,3,0
Afghanistan:Government,1,1998,69.162796,34.531094,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.0,35.75,Government of Afghanistan,UIFSA,0,95
Afghanistan:Government,1,1998,67.48715,34.708777,Government of Afghanistan,UIFSA,2,0
